Unity.frameCount	Unity.realtimeSinceStartup	Unity.Head.position.x	Unity.Head.position.y	Unity.Head.position.z	Unity.Head.rotation.euler_x	Unity.Head.rotation.euler_y	Unity.Head.rotation.euler_z	Unity.gazeHit.position.x	Unity.gazeHit.position.y	Unity.gazeHit.position.z	PicoXR.gazeHit.position.x	PicoXR.gazeHit.position.y	PicoXR.gazeHit.position.z	gazeData.leftEyePoseStatus	gazeData.rightEyePoseStatus	gazeData.combinedEyePoseStatus	gazeData.leftEyeGazePoint.x	gazeData.leftEyeGazePoint.y	gazeData.leftEyeGazePoint.z	gazeData.rightEyeGazePoint.x	gazeData.rightEyeGazePoint.y	gazeData.rightEyeGazePoint.z	gazeData.combinedEyeGazePoint.x	gazeData.combinedEyeGazePoint.y	gazeData.combinedEyeGazePoint.z	gazeData.combinedEyeGazePoint.x	gazeData.combinedEyeGazePoint.y	gazeData.combinedEyeGazePoint.z	gazeData.leftEyeOpenness	gazeData.rightEyeOpenness	gazeData.leftEyePupilDilation	gazeData.rightEyePupilDilation	gazeData.leftEyePositionGuide.x	gazeData.leftEyePositionGuide.y	gazeData.leftEyePositionGuide.z	gazeData.rightEyePositionGuide.x	gazeData.rightEyePositionGuide.y	gazeData.rightEyePositionGuide.z	gazeData.foveatedGazeDirection.x	gazeData.foveatedGazeDirection.y	gazeData.foveatedGazeDirection.z	gazeData.foveatedGazeTrackingState
25969	365.8079	0	0	0	0	0	0	-1.480787	-2.507307	8.5	-0.01448119	-0.1134857	0.05	21	21	3	-0.03109423	-0.001237533	-0.02977031	0.02698955	-0.001210489	-0.0258179	-0.01334002	-0.001229267	-0.0285622	-0.01334002	-0.001229267	-0.0285622	1	1	0	0	0.497512	0.5698646	0.5	0.3772577	0.5578513	0.5	-0.01740031	-0.1363622	0.9905063	0
25970	365.8254	0	0	0	0	0	0	-1.488026	-2.506222	8.5	-0.01461	-0.1135302	0.05	21	21	3	-0.03109435	-0.001238676	-0.02976172	0.02698983	-0.00120991	-0.0258207	-0.0115961	-0.00122902	-0.02843876	-0.0115961	-0.00122902	-0.02843876	1	1	0	0	0.4974783	0.5699111	0.5	0.3771745	0.5578387	0.5	-0.01755491	-0.1364143	0.9904963	0
25971	365.8436	0	0	0	0	0	0	-1.492469	-2.502998	8.5	-0.01485045	-0.1134282	0.05	21	21	3	-0.03109462	-0.001240585	-0.02974722	0.02699026	-0.00120991	-0.0258207	-0.01070167	-0.001229816	-0.02836866	-0.01070167	-0.001229816	-0.02836866	1	1	0	0	0.4974528	0.5699907	0.5	0.3770944	0.5577313	0.5	-0.01784404	-0.1362932	0.9905078	0
25972	365.8618	0	0	0	0	0	0	-1.494232	-2.508543	8.5	-0.01470838	-0.1142633	0.05	21	21	3	-0.03109484	-0.001241587	-0.02974117	0.02699057	-0.001210112	-0.02582058	-0.009349449	-0.001229804	-0.02827342	-0.009349449	-0.001229804	-0.02827342	1	1	0	0	0.4974281	0.5702128	0.5	0.3771737	0.5578252	0.5	-0.01767096	-0.1372783	0.9903749	0
25973	365.8788	0	0	0	0	0	0	-1.494999	-2.505553	8.5	-0.01431478	-0.1140855	0.05	21	21	3	-0.03109642	-0.001241587	-0.02974117	0.02699068	-0.001210865	-0.02582058	-0.007680171	-0.001229202	-0.02816069	-0.007680171	-0.001229202	-0.02816069	1	1	0	0	0.4974529	0.5702015	0.5	0.3771736	0.557825	0.5	-0.01719872	-0.1370698	0.9904121	0
25974	365.8941	0	0	0	0	0	0	-1.496552	-2.502635	8.5	-0.01476862	-0.1141665	0.05	21	21	3	-0.03110258	-0.001253717	-0.0296894	0.02699098	-0.00121331	-0.02581523	-0.006036026	-0.001236282	-0.02801775	-0.006036026	-0.001236282	-0.02801775	1	1	0	0	0.497082	0.5706686	0.5	0.3771829	0.557791	0.5	-0.01774358	-0.1371641	0.9903894	0
25975	365.9098	0	0	0	0	0	0	-1.510022	-2.506376	8.5	-0.0152232	-0.1140276	0.05	21	21	3	-0.03110518	-0.001259867	-0.02966829	0.0269912	-0.00121331	-0.02581523	-0.005638567	-0.001239459	-0.0279793	-0.005638567	-0.001239459	-0.0279793	1	1	0	0	0.4969273	0.5708014	0.5	0.3771034	0.5577925	0.5	-0.01828997	-0.1369989	0.9904023	0
25976	365.9255	0	0	0	0	0	0	-1.512283	-2.503221	8.5	-0.01526863	-0.1136076	0.05	21	21	3	-0.03110626	-0.001259942	-0.02966761	0.02699222	-0.00121331	-0.02580548	-0.004832837	-0.001238854	-0.02792107	-0.004832837	-0.001238854	-0.02792107	1	1	0	0	0.4968729	0.5708054	0.5	0.3771193	0.5576443	0.5	-0.01834581	-0.1365037	0.9904697	0
25977	365.9425	0	0	0	0	0	0	-1.514078	-2.437603	8.5	-0.01550347	-0.1075432	0.05	21	21	3	-0.03111467	-0.001272327	-0.02960338	0.02699629	-0.001380734	-0.02534764	-0.004568186	-0.00132185	-0.02765926	-0.004568186	-0.00132185	-0.02765926	1	1	0	0	0.4964314	0.5712057	0.5	0.3778399	0.5599192	0.5	-0.01864594	-0.1293417	0.9914247	0
25978	365.9573	0	0	0	0	0	0	-1.511457	-2.438848	8.5	-0.01520957	-0.1076174	0.05	21	21	3	-0.03111929	-0.00127926	-0.02957903	0.02699673	-0.001380734	-0.02534713	-0.004476183	-0.001325781	-0.02763893	-0.004476183	-0.001325781	-0.02763893	1	1	0	0	0.4963837	0.5713397	0.5	0.3778437	0.5600221	0.5	-0.01829237	-0.1294303	0.9914198	0
25979	365.9724	0	0	0	0	0	0	-1.508521	-2.440439	8.5	-0.01501515	-0.1077846	0.05	21	21	3	-0.03112292	-0.00128718	-0.02954835	0.02699686	-0.001381182	-0.0253315	-0.004728005	-0.001329871	-0.02763328	-0.004728005	-0.001329871	-0.02763328	1	1	0	0	0.4963358	0.5714334	0.5	0.3778749	0.5602108	0.5	-0.01805816	-0.1296284	0.9913982	0
25980	365.9879	0	0	0	0	0	0	-1.503952	-2.429935	8.5	-0.01434727	-0.1068579	0.05	21	21	3	-0.03113087	-0.001300686	-0.02948902	0.0269987	-0.001383138	-0.0253315	-0.003993336	-0.001339178	-0.0275481	-0.003993336	-0.001339178	-0.0275481	1	1	0	0	0.4962025	0.5716053	0.5	0.3780252	0.5602087	0.5	-0.01725765	-0.1285343	0.9915549	0
25981	366.0037	0	0	0	0	0	0	-1.49182	-2.43604	8.5	-0.0135994	-0.1074517	0.05	21	21	3	-0.03114065	-0.001311687	-0.0294273	0.02699928	-0.001387633	-0.02531378	-0.005304778	-0.001345436	-0.02759936	-0.005304778	-0.001345436	-0.02759936	1	1	0	0	0.4959356	0.5720904	0.5	0.3783765	0.5601798	0.5	-0.01635681	-0.1292386	0.9914786	0
25982	366.019	0	0	0	0	0	0	-1.488627	-2.434672	8.5	-0.01328633	-0.107277	0.05	21	21	3	-0.03114245	-0.001311775	-0.02941507	0.02699958	-0.001387993	-0.0253129	-0.005618731	-0.001345234	-0.02761426	-0.005618731	-0.001345234	-0.02761426	1	1	0	0	0.4959272	0.5720084	0.5	0.3784744	0.5601823	0.5	-0.0159808	-0.1290327	0.9915116	0
25983	366.0358	0	0	0	0	0	0	-1.487688	-2.414456	8.5	-0.01317448	-0.1055346	0.05	21	21	3	-0.03115288	-0.001323811	-0.02934206	0.02700055	-0.001387993	-0.0253129	-0.005714387	-0.001351886	-0.02757956	-0.005714387	-0.001351886	-0.02757956	1	1	0	0	0.4957476	0.571857	0.5	0.378376	0.5600328	0.5	-0.01585055	-0.1269713	0.9917797	0
25984	366.0517	0	0	0	0	0	0	-1.485336	-2.422534	8.5	-0.01265398	-0.1064375	0.05	21	21	3	-0.03115668	-0.001328968	-0.02932397	0.02700073	-0.001387993	-0.02531137	-0.004938912	-0.001355577	-0.02751506	-0.004938912	-0.001355577	-0.02751506	1	1	0	0	0.4956914	0.5723555	0.5	0.3784751	0.5600391	0.5	-0.01522236	-0.1280412	0.991652	0
25985	366.0686	0	0	0	0	0	0	-1.479819	-2.412416	8.5	-0.0126153	-0.1057277	0.05	21	21	3	-0.03115916	-0.001330115	-0.02932397	0.02700253	-0.001386355	-0.0253129	-0.006393107	-0.001354063	-0.027616	-0.006393107	-0.001354063	-0.027616	1	1	0	0	0.4956084	0.5719559	0.5	0.3786407	0.5601013	0.5	-0.0151775	-0.1272012	0.9917608	0
25986	366.0841	0	0	0	0	0	0	-1.479455	-2.409363	8.5	-0.0125876	-0.1057908	0.05	21	21	3	-0.03115916	-0.001330115	-0.02932397	0.02700271	-0.001384625	-0.02531952	-0.006529558	-0.001353198	-0.02762822	-0.006529558	-0.001353198	-0.02762822	1	1	0	0	0.4956084	0.5719559	0.5	0.3786478	0.560068	0.5	-0.01514403	-0.127276	0.9917517	0
25987	366.1013	0	0	0	0	0	0	-1.482065	-2.397306	8.5	-0.0127077	-0.1051112	0.05	21	21	3	-0.03115916	-0.001330115	-0.02932397	0.02700385	-0.001383138	-0.02533123	-0.006169938	-0.001352896	-0.02760852	-0.006169938	-0.001352896	-0.02760852	1	1	0	0	0.4955668	0.5717301	0.5	0.3786606	0.5600874	0.5	-0.01529007	-0.1264712	0.9918524	0
25988	366.117	0	0	0	0	0	0	-1.48184	-2.415095	8.5	-0.01286682	-0.1069106	0.05	21	21	3	-0.03115916	-0.001330115	-0.02932397	0.02700385	-0.001383138	-0.0253315	-0.006788652	-0.001352332	-0.02765111	-0.006788652	-0.001352332	-0.02765111	1	1	0	0	0.4954609	0.5722541	0.5	0.3787363	0.5600852	0.5	-0.01547721	-0.1286004	0.9915757	0
25989	366.1319	0	0	0	0	0	0	-1.471554	-2.403202	8.5	-0.01261055	-0.1063167	0.05	21	21	3	-0.03115916	-0.001330115	-0.02933477	0.02700405	-0.001384609	-0.02532934	-0.008905149	-0.001350965	-0.02780224	-0.008905149	-0.001350965	-0.02780224	1	1	0	0	0.4955832	0.5719279	0.5	0.3787872	0.5601268	0.5	-0.01517041	-0.1278983	0.9916712	0
25990	366.1473	0	0	0	0	0	0	-1.426449	-2.472476	8.5	-0.009372889	-0.1132112	0.05	21	21	3	-0.03115798	-0.001327134	-0.02936137	0.02694124	-0.001202727	-0.02607191	-0.01214188	-0.001286415	-0.02828472	-0.01214188	-0.001286415	-0.02828472	1	1	0	0	0.4956732	0.5717847	0.5	0.378051	0.5587049	0.5	-0.01126378	-0.1360504	0.9906379	0
